Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
l/adiabo,tigray,tigray,14.3669967483,38.1982749571,94.0,0.0,1356.40237427,2487.9738245,412340.022339,17.3583666992,1689.68103027,51304.2050781,69.5015716553,1537.0,11819.9998779,11041.6666565
laelay maichew,tigray,tigray,14.0968593392,38.7548439813,91.0,0.0,1343.54158688,1512.82203376,29754.4775391,19.9553804321,1100.0,36485.1741943,214.406158447,1139.0,11330.7142334,12573.75
lagahida,somali,somali,8.05476203775,41.9934591613,10.0,0.0,576.064041138,46.2874507904,14350.9801255,0.674358978271,749.162506103,18915.9616089,200.0,78.0,4466.66665649,700.0
lalibela t,amhara,north wollo,12.031975,39.04732,106.0,0.0,1221.57896256,306.374052763,688.750320435,1.05,749.162506103,1827.94966125,200.0,272.0,1400.0,4700.0
lalo assabi,oromiya,west wollega,9.18306192858,35.6618330112,125.0,0.0,1129.93232203,243.261748075,23357.5629883,3.65305102158,1600.0,56124.1776123,184.347824097,760.0,12374.4442139,8201.03173828
lalo kile,oromiya,kellem,8.84822100648,35.3241092209,57.0,0.0,1041.175246,379.548325121,17831.2852783,3.73169372463,1696.25,22139.2274475,203.455459595,1054.0,11783.3334961,9466.42150879
lanfuro,snnpr,silte,7.74046368462,38.3798900965,190.0,3.0,84.1443407536,21.4204913825,820.621337891,0.0613219345659,102.892562866,2189.209095,170.061126709,1039.5,641.162628174,2330.47125626
lare,gambella,gambella,8.34019837106,33.9502740179,106.0,0.0,1007.14413285,564.888508797,2751.74127197,2.65765353584,749.162506103,2924.301651,200.0,400.0,633.333332062,3349.7618866
lasta,amhara,north wollo,12.0527181524,39.0125274373,106.0,0.0,12817.8572998,1297.20151138,59397.6341553,11.2699325256,749.162506103,19898.2869644,200.0,1563.0,17550.0,17070.0
lay armachiho,amhara,north gondar,12.7764950241,37.3646044803,106.0,0.0,2380.19802284,2060.54758915,238505.66748,30.3752225952,749.162506103,1950.70499003,200.0,1848.0,20625.0,16584.0552368
laygayint,amhara,south gondar,11.8462075268,38.4315109285,216.0,0.0,29001.9726868,5104.27728844,66739.581543,32.0676140747,551.667602539,52175.7290649,866.282287598,2367.0,6905.25422668,16275.4705505
legambo,amhara,south wolo,10.8496063087,39.1549927393,242.0,0.0,8665.47497559,2355.65270233,26163.6502686,6.60676856232,486.797027588,50808.3831787,740.70690918,2305.0,16770.4764404,20500.0
lege hidha,oromiya,bale,7.78221495297,41.3242001145,46.0,0.0,2232.87582207,386.382398248,16703.9743652,4.37679624939,1900.0,29788.5519409,300.0,1032.0,4766.66659546,12410.7545471
legehare,dire dawa,dire dawa,9.59858,41.8754,106.0,0.0,391.093283951,244.165597111,14350.9801255,0.65169981432,749.162506103,660.901947021,200.0,1627.0,550.0,13784.6153564
leghida,amhara,south wolo,10.7039852551,39.2849885983,85.0,0.0,2984.95110321,1638.67890811,11246.953125,4.50526779938,613.5,20704.8240891,192.204330444,1008.0,10541.666626,8780.0
leka dullacha,oromiya,east wolega,8.88333355404,36.4573861925,0.0,0.0,4482.79180527,1622.82799762,29398.7174072,14.9787492676,382.551269531,28563.7679443,200.0,919.0,6766.66662598,7580.00506592
lemo,snnpr,hadiya,7.53363560555,37.8478353045,404.0,0.0,616.300898314,499.28547895,6278.47070312,3.30760328484,243.888046265,18935.3830566,428.444107056,1039.5,6203.24255371,7200.0
liben,oromiya,east shewa,8.49432766095,38.8999669857,58.0,0.0,2176.67551231,1392.1329729,6877.80448401,17.0147428894,800.0,5922.73257256,200.0,1187.0,2837.5,10174.3421173
liben,oromiya,guji,5.10780028461,39.592124795,58.0,0.0,9973.84008789,11748.5789795,94813.27771,18.1864729004,500.0,26365.0832214,300.0,911.0,8213.0553894,10449.350647
libo kemkem,amhara,south gondar,12.1464560325,37.7806038418,363.0,0.0,3073.34905815,587.840003848,29320.401123,28.8910050049,2794.6652832,39121.8206787,842.217407227,2435.0,18939.394043,18025.0
lideta,addis ababa,addis ababa,9.01148114388,38.7298769636,236.0,0.0,185.274821877,73.2417029291,14350.9801255,1.62447854996,749.162506103,18915.9616089,280.346374512,1350.0,1066.66666412,4070.31590271
limmu,oromiya,east wolega,9.69895472905,36.4439644022,91.0,0.0,4486.13190269,910.917510688,63779.0078125,5.37290988922,740.225830078,37048.5100098,9963.1015625,966.0,4166.66665649,10530.0
limu kossaa,oromiya,jimma,8.05331072298,36.957046122,106.0,0.0,523.222534597,868.389962435,36191.5649414,14.0616608887,749.162506103,77705.1074219,200.0,2608.0,27748.2574463,53875.6299057
limu saqaa,oromiya,jimma,8.48124178882,36.9520190149,61.0,0.0,3830.68499756,1290.07957077,13840.2387695,10.3668276596,1879.01660156,36153.2263411,100.0,1228.0,14050.0,11751.0320969
lode hetosa,oromiya,arsi,8.09246987642,39.4168054139,106.0,0.0,2662.95646477,2468.90980244,2267.07989502,3.10676802421,749.162506103,20044.616394,200.0,1066.0,3783.33337402,8708.33334351
loka,snnpr,sidama,6.64661342324,38.1509925377,40.0,6.0,3255.62071419,1278.33771074,140624.481354,6.53330346298,1381.77746582,21113.4213257,259.887878418,1039.5,4091.86990356,6483.76145935
loma,snnpr,dawro,6.81345426317,37.1678345385,151.0,0.0,304.979376316,53.8756059334,6511.00811768,4.74022088242,102.480476379,13096.2291565,144.627799988,1039.5,2360.90944481,4488.05626678
lume,oromiya,east shewa,8.59822301975,39.1551440272,112.0,0.0,1030.42210913,561.786940217,96676.7373047,10.0398977489,1086.7824707,57638.2406006,172.739105225,1437.0,20295.6977539,14913.1136475
m/saint,amhara,south wolo,10.9309394258,38.6416838353,177.0,0.0,5577.63235092,1008.12542987,12372.7539062,2.63023181152,477.828430176,23882.8624268,500.0,1995.0,15300.0,15377.2108612
m/zana,tigray,tigray,14.0086059208,38.4453929413,171.0,0.0,2381.2481575,1280.65545273,139689.310547,24.5335894775,749.162506103,46911.3083496,230.280303955,1615.0,12464.9998169,14146.3889771
maareka,snnpr,dawro,7.03891439882,37.1383038232,261.0,4.0,37.1312833875,1089.43580249,4109.53918457,3.66319049454,400.0,9026.38613892,360.408294678,1039.5,4142.98452759,4460.0
machakel,amhara,east gojam,10.4775974954,37.5218831503,175.0,0.0,701.734090984,472.824237749,223183.659668,22.1605712891,2100.0,49955.2756348,335.059326172,1801.0,14933.3331909,17543.333313
maichew town,tigray,tigray,12.784327,39.542735,89.0,0.0,855.72980541,103.580303043,640.663757324,0.133099024296,749.162506103,700.0,193.695541382,567.0,1000.0,2400.0
maji,snnpr,bench maji,5.94268393793,35.6893971594,84.0,0.0,59.7174458951,24.3518984094,737.822158813,0.567572800159,132.049690247,668.354833603,200.0,1039.5,306.583868027,2527.27271271
malka soda,oromiya,borena,5.43771749087,38.5801429428,106.0,0.0,1091.13734961,182.834873617,6865.59777832,5.78699879456,749.162506103,21351.3519897,200.0,678.0,6175.00001526,8995.83330917
malle,snnpr,south omo,5.7541309143,36.8708999017,59.0,4.0,39.26842466,34.9615437835,329.756454468,0.667054397583,3771.01843262,1722.39383888,118.023269653,1039.5,327.925682068,2175.24910355
mandura,benishangul-gumuz,benishangul-gumuz,11.0148494641,36.2823003896,8.0,0.0,3809.5621047,1199.9776063,16443.3662109,26.341132019,749.162506103,26757.9562988,100.0,523.0,300.0,700.0
manna,oromiya,jimma,7.78986399459,36.7499749519,186.0,0.0,1715.57189286,1445.0724901,17513.6116943,7.54361056519,749.162506103,33753.9054108,200.0,1844.0,19500.0,20058.1321869
mao-komo,benishangul-gumuz,benishangul-gumuz,9.3515276859,34.2864525378,36.0,0.0,3221.48232841,2206.88876937,158531.29834,25.0056096191,1647.03259277,32533.3207245,200.0,509.0,4036.66659546,2280.0
mareko,snnpr,gurage,7.98529597347,38.5279598764,456.0,0.0,2733.23227501,950.956132144,5585.37969971,4.34224561882,700.0,15616.7010803,99.6530685425,1039.5,5310.28909302,2400.0
marsin,somali,somali,7.60723,44.9401,106.0,0.0,20.7317066193,75.2767035961,14350.9801255,0.0158266129494,749.162506103,18915.9616089,200.0,74.0,4466.66665649,600.0
