Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
tullo,oromiya,west hararge,9.18351656857,41.1499479644,124.0,0.0,5070.85314178,2318.74863911,269168.166992,0.967756318808,1370.58483887,52269.4648438,600.0,1993.0,11227.0349121,19814.5613022
uba d/tsehay,snnpr,gamo gofa,6.04654353059,36.8613411719,113.0,5.0,66.463152647,67.3162733018,1013.11125183,1.50177978134,63.7005233765,2297.99385834,951.311935425,1039.5,531.575971603,10203.9469986
uraga,oromiya,guji,6.06000191753,38.5484844453,154.0,0.0,12162.7200623,3328.89216042,14350.9801255,0.1,749.162506103,21523.4757309,800.0,1872.0,4000.0,20096.8214645
w/a/t berbere,snnpr,silte,7.75548727162,37.9291506306,0.0,0.0,15.1202444658,24.0560895726,1037.36336517,0.2,749.162506103,2432.77056885,200.0,1039.5,634.010879517,1899.81282699
w/genet,snnpr,sidama,7.03350578982,38.6029480172,410.0,0.0,329.531906843,824.420964479,9598.37826538,1.16184600088,564.568916321,6127.55160522,594.111724854,1039.5,3454.78263855,6472.7272644
wachale,oromiya,north shoa,9.57228502588,38.9192189145,100.0,0.0,7072.00546265,2088.47302818,11039.8481445,1.1742857132,100.0,37921.1867065,0.0,1313.0,12878.125,13646.6409302
wadera,oromiya,guji,5.87622027995,39.2498459047,90.0,0.0,6526.57139969,4021.3393116,59482.0771484,9.64179059696,946.049560547,17790.948822,400.0,1353.0,6604.76200867,10757.5000191
wadila,amhara,north wollo,11.65900717,39.0088039921,106.0,0.0,6728.18952942,822.340054989,23405.4411621,5.13199703217,749.162506103,43015.7874756,200.0,1627.0,25533.3334961,15216.388916
wahil,dire dawa,dire dawa,9.49752,41.74386,55.0,0.0,2925.52385902,969.147091091,52791.802063,0.514999994278,305.581390381,8133.4750824,100.0,589.0,1266.66664124,3873.51191711
walmara,oromiya,finfine special,9.06060925962,38.5406663754,81.0,0.0,403.794111967,482.398290962,5716.40893555,5.1,473.91293335,11558.5957336,214.004623413,845.0,1433.33332825,11860.7753296
wama hagalo,oromiya,east wolega,8.795012397,36.8956851759,49.0,0.0,1129.82510412,352.942787409,12044.5692673,6.00451223755,100.0,18974.8807983,200.0,804.0,5724.99993896,7947.4937439
wantewa,gambella,gambella,8.31461631737,33.3197154767,106.0,0.0,2603.44018364,2067.08758926,1021.77316284,4.66171175766,749.162506103,1531.1150322,200.0,349.0,800.0,200.0
wayu tuqa,oromiya,east wolega,9.02183795805,36.6718149885,52.0,0.0,1219.60612917,297.574666739,20886.8015137,4.08539447403,700.0,14445.4281311,117.543861389,806.0,2789.58330154,4933.33331299
wenchi,oromiya,south wollo,8.65769641236,37.9002367497,132.0,0.0,7265.34962463,2683.96485519,7484.54498291,8.87186650085,869.913024902,29447.255249,240.632385254,1518.0,4162.5,14783.333313
were jarso,oromiya,north shoa,9.9541115425,38.2255274271,91.0,0.0,5353.56823921,3177.20800114,31043.8771362,14.0535051575,500.0,52742.3145752,299.936004639,2042.0,11874.9998779,16691.428566
werie leke,tigray,tigray,13.9848628932,39.0912243637,148.0,0.0,8455.15365601,2297.72232628,842205.193359,39.6024351807,515.380432129,76780.5712891,417.92980957,1824.0,20537.5395508,13509.824585
west badawacho,snnpr,hadiya,7.14064989226,37.8287752876,180.0,0.0,81.0600040071,117.486431599,758.555282593,0.998862216949,0.0,2215.50536346,142.657558441,1039.5,759.205429077,2386.58007812
west imey,somali,somali,6.12548083271,42.5130079348,90.0,0.0,1774.1785965,967.157119751,29229.5473633,3.21227457428,1500.0,100.0,200.0,244.0,3883.33337402,2400.0
wogdi,amhara,south wolo,10.5338800377,38.6775340507,53.0,0.0,6877.52856445,2113.19434738,36518.7053223,14.7314298248,240.178771973,38462.5749512,91.3062591553,1268.0,8191.4437561,10965.3571777
wogera,amhara,north gondar,12.774372444,37.7776925935,146.0,0.0,11188.3356476,4584.17443466,26470.8009033,32.953918396,1374.84875488,31655.0837708,146.735092163,2663.0,21466.6668701,22764.9022827
woldiya,amhara,north wollo,11.827743,39.599232,106.0,0.0,391.055931807,670.288506746,2801.75439453,1.91140821457,749.162506103,7996.80828857,200.0,619.0,4166.66665649,12680.196907
wolikete,snnpr,gurage,8.28883,37.779622,111.0,0.0,43.3641695678,5.81697088853,14350.9801255,0.313600563049,749.162506103,18915.9616089,200.0,1039.5,633.333328247,2408.33333588
woliso rural,oromiya,south wollo,8.54958962927,38.0711255474,130.0,0.0,2446.03789043,780.264161587,4524.53081852,13.830446106,588.571411133,25462.2127686,313.564331055,2191.0,820.833312988,12351.3157959
woliso town,oromiya,south wollo,8.537522,37.972741,45.0,0.0,166.995727688,117.201833904,867.594909668,0.500972348213,749.162506103,544.579195023,100.0,572.0,1400.0,5400.0
wolkait,tigray,tigray,13.7563716011,37.3954474201,159.0,0.0,3215.86004257,1077.73972225,17062.8096313,37.5331293945,917.825622559,46102.3768921,228.124816895,1923.0,9128.88873291,13690.2990112
wombera,benishangul-gumuz,benishangul-gumuz,10.5974524084,35.5523779285,31.0,0.0,904.206537485,316.422267228,183680.689819,30.9185614014,1800.0,36763.8646584,200.0,868.0,14386.666626,10382.979248
womberma,amhara,west gojam,10.486365126,36.8000618899,173.0,0.0,420.567914367,63.6323829293,23000.4063721,12.0497131195,800.0,28167.0686646,324.964691162,1494.0,9199.99993896,12079.6213074
wonago,snnpr,gedeo,6.28902153702,38.2732426501,109.0,0.0,377.677896976,356.689269781,1525.94259262,0.854093400955,749.162506103,3814.97868347,99.9810409546,1039.5,1129.09586334,8163.16330338
wondo,oromiya,west arsi,7.083624,38.619025,69.0,0.0,6613.95664978,4719.60132599,8291.02294922,5.93281303024,1500.0,26684.9365234,200.0,544.0,6816.66666412,5866.88311768
wonsho,snnpr,sidama,6.73202649891,38.505333701,110.0,0.0,762.668219566,730.67340672,2463.61087036,1.20078920388,134.402282715,5676.28691101,200.0,1039.5,2559.24356079,7035.0975647
worabe,snnpr,silte,7.73953373878,38.1277222788,0.0,0.0,110.270678699,17680.2967153,14350.9801255,0.156944515198,749.162506103,18915.9616089,100.0,1039.5,500.0,2200.0
worebabo,amhara,south wolo,11.4301721895,39.8915762563,130.0,0.0,6084.33383179,285.457852364,15614.3302002,8.55830296326,1922.43347168,15557.2287903,109.425765991,1205.0,5541.66666412,20738.0952644
woreta,amhara,south gondar,11.923706,37.699542,139.0,0.0,49.5570123792,21.8769581318,14350.9801255,0.122025031149,749.162506103,18915.9616089,68.8633117676,363.0,300.0,6200.0
worilu,amhara,south wolo,10.6960821067,39.4525627542,116.0,0.0,3148.99247742,367.058691502,40650.1358643,1.26979915237,700.0,25192.4083252,399.416931152,1209.0,8055.64923096,11250.0
wukro,tigray,tigray,13.787445,39.602494,108.0,0.0,326.464900278,101.47909149,14350.9801255,1.43508708572,749.162506103,18915.9616089,118.565673828,618.0,200.0,8100.0
y/alem town,snnpr,sidama,6.749446,38.412302,91.0,0.0,168.921327963,465.278353274,14350.9801255,0.0777428035736,749.162506103,18915.9616089,67.7335357666,1039.5,200.0,1900.0
yabello,oromiya,borena,4.91353199839,38.2035043757,29.0,0.0,7342.95317841,2526.24590683,15193.8100281,6.75281366205,154.166671753,26123.038269,200.0,1325.0,7358.33328247,11554.7237854
yallo,afar,afar,12.5687060522,40.0000104357,106.0,0.0,2420.93011189,3894.80792618,200.0,12.9053085938,749.162506103,393.541656494,200.0,580.0,85.7142868042,4816.66664886
yasso,benishangul-gumuz,benishangul-gumuz,9.97660639518,36.1311479804,106.0,0.0,959.105721712,1487.51427555,14352.7307587,15.4550602417,749.162506103,6294.29476213,200.0,522.0,1499.99998474,2217.85713959
yaya gulele,oromiya,north shoa,9.5759277206,38.6529332346,42.0,0.0,2078.00784302,1371.00052166,52147.2646484,6.38251071358,700.0,27460.8404465,200.0,1064.0,2933.33332825,11471.6666412
yayo,oromiya,ilu ababor,8.29420103352,35.9520384421,106.0,0.0,543.091522217,88.1082224846,18536.9984131,7.42664058685,749.162506103,29085.8748779,200.0,751.0,6977.49984741,6088.8888855
yeka,addis ababa,addis ababa,9.04898448109,38.8273137486,106.0,0.0,1313.27606392,1336.09480333,14350.9801255,3.32606809616,749.162506103,18915.9616089,200.0,2673.0,1124.99996948,16095.6521606
yeki,snnpr,sheka,7.25018635631,35.4595742359,91.0,0.0,426.779718563,837.09258838,8658.47943115,11.3504781647,1447.99195862,27801.3813477,451.015533447,1039.5,2923.73033905,11105.0
yem,snnpr,yem,7.81201642441,37.486755972,176.0,3.0,16.0406832099,43.3674615398,998.453559875,0.180584239483,128.518420219,2206.83464432,187.06855011,1039.5,378.589561462,2361.03170776
yemalogi walel,oromiya,kellem,8.77521103689,34.8487327102,77.0,0.0,3224.44409943,2027.78972054,11275.3443604,6.05192662239,749.162506103,19334.3620911,274.909759521,708.0,2466.66665649,9647.99501801
yilmana diensa,amhara,west gojam,11.2421995136,37.5569020768,249.0,0.0,1132.50499439,326.331170142,21411.3007812,33.9170400391,2591.88330078,39462.5879211,794.897094727,2919.0,17804.1665039,28752.0140381
yirga cheffe woreda,snnpr,gedeo,6.17265142318,38.2122872211,268.0,0.0,4352.99998474,932.76805222,1461.75820923,1.21484523964,391.163818359,1875.95722961,200.0,1039.5,2072.05152893,8309.5778656
yoacale,somali,somali,8.420489,43.856953,106.0,0.0,809.587936401,183.400789738,180.0,1.70284287262,749.162506103,936.666664124,200.0,113.0,25.0,626.666664124
yubdo,oromiya,west wollega,8.95442999849,35.4448901099,76.0,0.0,2130.12392211,216.927792192,80753.6325684,2.51979746008,1900.0,31329.1466064,200.0,563.0,11335.6749878,4771.42858124
zala,snnpr,gamo gofa,6.28521936864,37.0720987861,9.0,0.0,65.3767887354,43.3997447193,824.181892395,0.92248717308,217.611862183,2625.50889587,1322.34737015,1039.5,476.860481262,2347.91472626
zigem,amhara,awi,10.709842,36.493522,147.0,0.0,917.803959489,320.038073301,9948.02227783,19.0949360352,1400.0,1274.46233237,284.399932861,834.0,8316.66664124,9232.38095093
ziquala,amhara,waghimra,12.810707367,38.7094703747,106.0,0.0,9058.2172699,1941.26978874,10470.1867065,12.7204790039,749.162506103,17651.0689697,200.0,1134.0,7566.66650391,13165.7142944
zuway dugda,oromiya,arsi,7.96602091696,38.9411317288,106.0,0.0,12962.6725616,4751.09426117,43666.793457,11.2226758194,749.162506103,23333.2983704,200.0,1602.0,3800.0,15541.0919952
